# sibling_analyze model curve (predicted sibling - same-CCX, ns)
# machine=zen5 mca_mcpu=native
# regime=overlap
# C=1.7978 calib_scale=0.8200 dh_ns=50.00 presence_tax=0.0300 gap_allowance_ns=150.00 freq_ghz=4.980
# wstar_mid=405 wstar_lo=374 wstar_hi=464
w_ns,delta_ns
10.000,-49.7000
11.237,-49.6629
12.626,-49.6212
14.187,-49.5744
15.942,-49.5218
17.913,-49.4626
20.128,-49.3962
22.617,-49.3215
25.413,-49.2376
28.556,-49.1433
32.087,-49.0374
36.055,-48.9184
40.513,-48.7846
45.523,-48.6343
51.152,-48.4654
57.477,-48.2757
64.584,-48.0625
72.570,-47.8229
81.544,-47.5537
91.627,-47.2512
102.958,-46.9113
115.689,-46.5293
129.994,-46.1002
146.069,-45.6179
164.131,-45.0761
184.426,-44.4672
207.231,-43.7831
232.857,-43.0143
261.650,-42.1505
294.005,-41.1799
330.360,-31.9681
371.211,-14.4482
417.112,5.2382
468.690,27.3588
526.646,52.2148
591.769,80.1443
664.944,111.5275
747.167,146.7913
839.558,186.4157
943.373,230.9398
1060.026,280.9695
1191.103,337.1857
1338.389,400.3532
1503.887,471.3318
1689.850,551.0871
1898.808,640.7046
2133.605,741.4037
2397.435,854.5548
2693.889,981.6975
3027.002,1124.5620
3401.305,1285.0925
3821.893,1465.4732
4294.488,1668.1590
4825.522,1895.9077
5422.221,2151.8188
6092.705,2439.3744
6846.097,2762.4877
7692.650,3125.5555
8643.883,3533.5183
9712.740,3991.9277
10913.767,4507.0217
12263.307,5085.8095
13779.724,5736.1672
15483.653,6466.9447
17398.281,7288.0864
19549.661,8210.7661
21967.071,9247.5397
24683.405,10412.5153
27735.626,11721.5457
31165.269,13192.4440
35019.005,14845.2260
39349.273,16702.3824
44214.999,18789.1851
49682.396,21134.0309
55825.863,23768.8282
62728.999,26729.4308
70485.740,30056.1262
79201.641,33794.1834
88995.304,37994.4693
100000.000,42714.1407
